NSBH_num,Mean_Dist,P_massfill,P_3dcat,P_2dcat,Area99,A95
120,855.55,0.106,0.076,0.069,8762,No
77,882.69,0.427,0.201,0.167,7513,No
300,605.35,0.158,0.128,0.124,10000,Yes
56,542.19,0.161,0.144,0.147,5971,No
69,622.73,0.561,0.514,0.513,2018,No
81,703.66,0.776,0.757,0.755,789,No
633,670.26,0.099,0.088,0.087,7760,
644,471.67,0.596,0.573,0.575,1555,
447,522.66,0.174,0.154,0.156,4650,
926,559.68,0.28,0.241,0.248,6082,
74,760.43,0.172,0.123,0.118,5413,
177,615.15,0.217,0.039,0.038,5666,
971,900.6,0.231,0.205,0.2,8048,
273,791.2,0.702,0.337,0.161,2623,
730,623.01,0.735,0.669,0.622,6981,
876,756.49,0.254,0.235,0.235,6770,
631,469.61,0.129,0.115,0.114,8718,
531,364.44,0.589,0.481,0.528,2685,
660,801.64,0.072,0.065,0.062,9652,0.98
797,696.31,0.537,0.461,0.427,1723,
889,540.29,0.645,0.593,0.572,1243,
859,699.19,0.679,0.647,0.616,3627,
849,192.28,0.427,0.29,0.422,2446,
838,902.83,0.206,0.16,0.145,7617,
